;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;MICROSOFT;1;1;1;1;1;1;1;1;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;3M;1;1;1;1;1;1;1;1;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;FORD MOTOR;1;1;1;1;1;1;1;1;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;NIKE 'B';1;1;1;1;1;1;1;1;1;1;10;;;;HALLIBURTON;10;;;;;;;;;;;;;;;;;;;;;;;
53;WELLS FARGO & CO;1;1;1;1;1;1;1;1;1;1;10;;;;GOLDMAN SACHS GP.;10;;;;;;;;;;;;;;;;;;;;;;;
54;CAPITAL ONE FINL.;1;1;1;1;1;1;1;1;1;1;10;;;;HOME DEPOT;10;;;;;;;;;;;;;;;;;;;;;;;
55;OCCIDENTAL PTL.;1;1;1;1;1;1;1;1;1;1;10;;;;BIOGEN;10;;;;;;;;;;;;;;;;;;;;;;;
56;ORACLE;1;1;1;1;1;1;1;1;1;1;10;;;;INTEL;10;;;;;;;;;;;;;;;;;;;;;;;
57;EXELON;1;1;1;1;1;1;1;1;1;1;10;;;;JOHNSON & JOHNSON;10;;;;;;;;;;;;;;;;;;;;;;;
58;PEPSICO;1;1;1;1;1;1;1;1;1;1;10;;;;BLACKROCK;10;;;;;;;;;;;;;;;;;;;;;;;
59;PFIZER;1;1;1;1;1;1;1;1;1;1;10;;;;ELI LILLY;10;;;;;;;;;;;;;;;;;;;;;;;
60;CONOCOPHILLIPS;1;1;1;1;1;1;1;1;1;1;10;;;;UNITED PARCEL SER.'B';10;;;;;;;;;;;;;;;;;;;;;;;
61;ALTRIA GROUP;1;1;1;1;1;1;1;1;1;1;10;;;;LOCKHEED MARTIN;10;;;;;;;;;;;;;;;;;;;;;;;
62;COSTCO WHOLESALE;1;1;1;1;1;1;1;1;1;1;10;;;;LOWE'S COMPANIES;10;;;;;;;;;;;;;;;;;;;;;;;
63;PROCTER & GAMBLE;1;1;1;1;1;1;1;1;1;1;10;;;;MCDONALDS;10;;;;;;;;;;;;;;;;;;;;;;;
64;QUALCOMM;1;1;1;1;1;1;1;1;1;1;10;;;;METLIFE;10;;;;;;;;;;;;;;;;;;;;;;;
65;US BANCORP;1;1;1;1;1;1;1;1;1;1;10;;;;CVS HEALTH;10;;;;;;;;;;;;;;;;;;;;;;;
66;RAYTHEON 'B';1;1;1;1;1;1;1;1;1;1;10;;;;MICROSOFT;10;;;;;;;;;;;;;;;;;;;;;;;
67;MERCK & COMPANY;1;1;1;1;1;1;1;1;1;1;10;;;;3M;10;;;;;;;;;;;;;;;;;;;;;;;
68;SCHLUMBERGER;1;1;1;1;1;1;1;1;1;1;10;;;;FORD MOTOR;10;;;;;;;;;;;;;;;;;;;;;;;
69;SIMON PROPERTY GROUP;1;1;1;1;1;1;1;1;1;1;10;;;;NIKE 'B';10;;;;;;;;;;;;;;;;;;;;;;;
70;SOUTHERN;1;1;1;1;1;1;1;1;1;1;10;;;;WELLS FARGO & CO;10;;;;;;;;;;;;;;;;;;;;;;;
71;AT&T;1;1;1;1;1;1;1;1;1;1;10;;;;CAPITAL ONE FINL.;10;;;;;;;;;;;;;;;;;;;;;;;
72;CHEVRON;1;1;1;1;1;1;1;1;1;1;10;;;;OCCIDENTAL PTL.;10;;;;;;;;;;;;;;;;;;;;;;;
73;STARBUCKS;1;1;1;1;1;1;1;1;1;1;10;;;;ORACLE;10;;;;;;;;;;;;;;;;;;;;;;;
74;NETFLIX;1;1;1;1;1;1;1;1;1;1;10;;;;EXELON;10;;;;;;;;;;;;;;;;;;;;;;;
75;TEXAS INSTRUMENTS;1;1;1;1;1;1;1;1;1;1;10;;;;PEPSICO;10;;;;;;;;;;;;;;;;;;;;;;;
76;UNION PACIFIC;1;1;1;1;1;1;1;1;1;1;10;;;;PFIZER;10;;;;;;;;;;;;;;;;;;;;;;;
77;UNITED TECHNOLOGIES;1;1;1;1;1;1;1;1;1;1;10;;;;CONOCOPHILLIPS;10;;;;;;;;;;;;;;;;;;;;;;;
78;UNITEDHEALTH GROUP;1;1;1;1;1;1;1;1;1;1;10;;;;ALTRIA GROUP;10;;;;;;;;;;;;;;;;;;;;;;;
79;WALMART;1;1;1;1;1;1;1;1;1;1;10;;;;COSTCO WHOLESALE;10;;;;;;;;;;;;;;;;;;;;;;;
80;MASTERCARD;1;1;1;1;1;1;1;1;1;1;10;;;;PROCTER & GAMBLE;10;;;;;;;;;;;;;;;;;;;;;;;
